职位标题,职位链接
AI数据标注组长,http://www.zhaopin.com/jobdetail/CCL1500606270J40829550514.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
高级后端研发工程师-AI方向,http://www.zhaopin.com/jobdetail/CC705057820J40803413301.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
测试工程师（测试开发 ai方向）,http://www.zhaopin.com/jobdetail/CC138117190J40834031905.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI工程师(A23934),http://www.zhaopin.com/jobdetail/CCL1419461850J40831925605.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
深度学习/机器学习/大模型/AI,http://www.zhaopin.com/jobdetail/CCL1480117890J40831716205.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI高级研发工程师,http://www.zhaopin.com/jobdetail/CC599092820J40973186904.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
Golang 后端开发工程师（AI产品),http://www.zhaopin.com/jobdetail/CC138117190J40823602405.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI网络技术研究员2025SBZ05,http://www.zhaopin.com/jobdetail/CC251266610J40710089802.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
ai自动化工程师,http://www.zhaopin.com/jobdetail/CCL1514690950J40886953602.htm?refcode=4019&srccode=401903&preactionid=29cdbfd6-7a08-4cd9-ae76-89b81a351d1d
AI美学工程师,http://www.zhaopin.com/jobdetail/CC138117190J40833747905.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI视觉专家,http://www.zhaopin.com/jobdetail/CCL1318355140J40865891403.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI大模型数据标准-北京,http://www.zhaopin.com/jobdetail/CC489090980J40888557802.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI工程开发工程师,http://www.zhaopin.com/jobdetail/CC120399300J40883520415.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
策略产品经理-AI创新产品,http://www.zhaopin.com/jobdetail/CC469217510J40761536901.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI产品经理,http://www.zhaopin.com/jobdetail/CCL1281633590J40816572201.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
ai智能销售,http://www.zhaopin.com/jobdetail/CCL1441959190J40818731407.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI动画师,http://www.zhaopin.com/jobdetail/CCL1364230770J40742152906.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI平台产品经理-北京,http://www.zhaopin.com/jobdetail/CC205108410J40976117404.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI Agent 技术负责人 / 全栈架构师,http://www.zhaopin.com/jobdetail/CC689933520J40849586013.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI工程师,http://www.zhaopin.com/jobdetail/CCL1364230770J40737886106.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
高薪诚聘-AI架构师-海淀区,http://www.zhaopin.com/jobdetail/CC192325310J40831749705.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
软件算法人工智能AI工程师,http://www.zhaopin.com/jobdetail/CCL1513690060J40829829110.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
ai算法工程师,http://www.zhaopin.com/jobdetail/CCL1385232080J40783176016.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI前端开发工程师（北京）,http://www.zhaopin.com/jobdetail/CCL1496973580J40846696513.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI Agent前端开发(外派互联网大厂),http://www.zhaopin.com/jobdetail/CC000544460J40780128716.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI 预训练数据源扩展工程师-爬虫数据采集,http://www.zhaopin.com/jobdetail/CC637366030J40743444906.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI大模型算法工程师,http://www.zhaopin.com/jobdetail/CCL1492267030J40816695111.htm?refcode=4019&srccode=401903&preactionid=4a40d201-f658-46be-95f5-33c99c102b55
AI笔记类数据标注员,http://www.zhaopin.com/jobdetail/CC443657520J40822093009.htm?refcode=4019&srccode=401903&preactionid=d4680a8c-9a7a-4ffe-ba29-b189701b31e7
ai/商品数据标注,http://www.zhaopin.com/jobdetail/CC385622410J40743424906.htm?refcode=4019&srccode=401903&preactionid=d4680a8c-9a7a-4ffe-ba29-b189701b31e7
AI算法工程师,http://www.zhaopin.com/jobdetail/CCL1492267030J40816696811.htm?refcode=4019&srccode=401903&preactionid=d4680a8c-9a7a-4ffe-ba29-b189701b31e7
Ai教育销售经理,http://www.zhaopin.com/jobdetail/CC663071720J40896336315.htm?refcode=4019&srccode=401903&preactionid=d4680a8c-9a7a-4ffe-ba29-b189701b31e7
安卓开发工程师（AI应用）,http://www.zhaopin.com/jobdetail/CC863634910J40887880302.htm?refcode=4019&srccode=401903&preactionid=d4680a8c-9a7a-4ffe-ba29-b189701b31e7
